WineName,AvgScore,ScoreCount,Light,Smooth,Dry,Soft
Siro Pacenti Brunello Di Montalcino,4.4,614,46.4492,53.2215,1.00361,60.9352
Château Cambon La Pelouse Haut-Médoc,3.8,10185,71.5298,72.187,3.49633,68.9422
Fattoria Del Cerro Vino Nobile Di Montepulciano Riserva,3.9,3032,52.5062,58.0989,2.95047,61.5084
PlumpJack Syrah,4.2,1196,77.9287,56.6853,4.72301,41.4448
Torbreck The Struie,4.2,5941,80,45.7435,20.443,41.2753
Cloudy Bay Sauvignon Blanc,4.2,56700,29.8792,0,76.4421,
Turnbull Cabernet Sauvignon,4.3,156,80,55.3206,4.19969,45.672
Matua Sauvignon Blanc,3.9,40235,28.9468,0,76.5964,
Renieri Brunello Di Montalcino Riserva,4.4,872,44.7898,54.5816,3.96852,57.8224
Friedrich Becker Pinot Blanc,3.8,169,43.4421,0,65.4192,
Buitenverwachting Sauvignon Blanc,3.9,3439,31.629,3.64008,63.9653,
Dehlinger Pinot Noir,4.2,161,47.5567,14.1139,6.6584,52.5147
Georges Duboeuf Morgon,3.3,2671,0,14.0567,0.922253,80
Mount Eden Vineyards Chardonnay,4.2,1481,80,33.4001,44.4926,
Sadie Family Columella,4.4,3701,,,,
Pahlmeyer Merlot,4.4,2666,63.2534,19.0811,16.8851,10.3325
Casanuova Delle Cerbaie Brunello Di Montalcino,4.3,2208,45.5588,51.9662,0.88387,60.9429
Tenuta Il Poggione Rosso Di Montalcino Leopoldo Franceschi,3.9,9143,42.809,40.6634,0.534287,47.1986
Poggerino Chianti Classico,3.8,3091,42.393,57.5134,1.78231,63.0108
Condado De Haza Ribera DeL Duero Reserva,4.0,1879,65.8702,54.3267,8.26084,57.9579
Smith Woodhouse Vintage Port,4.2,540,,,,
Lagier Meredith Syrah,4.1,555,74.9996,56.9287,6.41161,42.6422
MacDonald Cabernet Sauvignon,4.8,165,80,52.2539,9.52261,45.5879
Peter Michael Les Pavots,4.6,3380,80,60.6503,11.3539,60.5375
Schloss Vollrads Riesling Spätlese,3.9,3215,39.6485,19.7322,80,
Reata Chardonnay,3.8,734,80,23.886,34.8027,
Querciabella Maremma Toscana Mongrana,3.8,8330,45.3529,39.4253,4.42951,43.7121
Vigneti Del Vulture Aglianico Del Vulture Piano Del Cerro,4.2,12971,80,39.2658,30.171,22.0297
Quinta Do Infantado DoUro Reserva,3.8,1468,80,57.6766,6.97226,44.4896
Poggio Il Castellare Brunello Di Montalcino,4.2,2981,44.9475,50.0878,0.632703,59.8805
Château D'Armailhac Pauillac (Grand Cru Classé),4.1,24962,70.4618,69.0825,4.91841,69.1402
Petrolo Toscana Torrione,3.8,6156,47.3707,41.7664,6.52076,45.541
RoseRock Chardonnay,3.9,1307,51.422,0,52.9595,
Mommessin Clos De Tart Grand Cru,4.6,130,39.1227,38.0348,17.544,66.4103
Duval-Leroy Brut Champagne,3.8,2998,67.4935,78.0164,78.8929,
Boscarelli Vino Nobile Di Montepulciano,3.9,5677,,,,
Olivier Ravoire Gigondas,4.0,402,66.0813,49.9043,3.10011,52.9867
Château De Beaucastel ChâteauNeuf-Du-Pape,4.4,31710,80,37.2358,8.65062,42.4335
Buehler Cabernet Sauvignon,3.9,6346,80,50.685,5.81471,49.8469
Lisini Brunello Di Montalcino Ugolaia,4.4,2047,46.754,53.9955,7.73177,59.7771
Bertrand Stehelin Gigondas,4.0,784,64.9937,45.2797,0,53.7065
Louis Latour Corton-Charlemagne Grand Cru,4.4,4345,60.2031,6.11577,44.6804,
Tenuta Delle Terre Nere Etna Rosso,3.9,13666,71.6743,42.7492,20.0338,33.6724
Jules Taylor Pinot Noir,3.7,1234,20.0482,20.3146,2.07506,63.1342
Leasingham Riesling,3.9,15,40,0,65.95,
Amavi Cabernet Sauvignon,4.0,2581,65.3774,60.199,3.46252,62.6905
Charles Heidsieck Brut Champagne,4.3,366,72.3337,80,80,
Rocca Di Frassinello Maremma Toscana Le Sughere Di Frassinello,4.0,7775,49.2705,41.0546,5.32744,43.1707
Château Malescasse Haut-Médoc,3.8,9350,72.9132,70.8719,4.18823,69.9789
Fanti Brunello Di Montalcino,4.2,9338,45.6382,54.3678,5.96211,60.5141
Nautilus Sauvignon Blanc,3.9,5289,30.1178,0,75.926,
Tamarack Firehouse Red,3.8,2980,64.3907,51.5627,3.28841,62.7918
Château Brane-Cantenac Margaux (Grand Cru Classé),4.2,19645,58.3564,60.3558,4.52177,68.8857
Amisfield Pinot Noir,4.1,4391,23.1707,19.3954,7.50568,59.0736
Quilceda Creek Cabernet Sauvignon,4.6,4968,65.3547,63.0873,5.9437,62.0139
M. Chapoutier Hermitage Monier De La Sizeranne,4.2,5533,78.3009,63.0704,7.44843,52.2796
Koehler-Ruprecht Pinot Noir Kabinett Trocken,3.9,301,0,25.0027,0,77.4146
Domaine Les Pallières Gigondas Terrasse Du Diable,3.9,2660,62.1507,48.0185,6.8344,51.7917
Bodegas Esmeralda Malbec,3.4,1399,44.6856,34.1833,32.6911,36.4871
G.D. Vajra Barolo Bricco Delle Viole,4.3,5086,58.0096,75.1569,3.14855,79.3674
Château Latour Pauillac De Latour,4.2,7789,71.1587,69.8051,2.95438,69.5749
Domaine Du Grapillon D'Or Gigondas,4.0,3233,64.5698,44.347,7.94594,51.3525
La Valentina Montepulciano D'Abruzzo,3.6,5243,32.157,35.7602,0,60.1608
Domaine Des Lambrays Clos Des Lambrays Grand Cru,4.4,5415,38.6246,31.0821,8.42128,70.2792
Sequoia Grove Cabernet Sauvignon,4.2,16324,80,47.1811,4.34654,48.5839
Zaca Mesa Syrah,3.9,2747,76.4383,54.6013,2.97898,43.4815
Domaine Santa Duc Gigondas Aux Lieux-Dits,4.0,2853,61.7187,49.3154,2.95501,52.3715
Domaine Bousquet Malbec,3.7,17970,59.2256,24.6369,14.6889,33.2949
Azelia Barolo Bricco Fiasco,4.2,2014,59.5735,73.8181,5.88404,80
Paolo Scavino Barolo Carobric,4.2,2356,60.643,74.107,3.95058,80
Avignonesi Vino Nobile Di Montepulciano,4.0,15850,49.3611,53.2671,0.46476,62.0173
Hall Sauvignon Blanc,4.2,63,46.4048,0,50.7056,
Domaine Lafond Tavel Roc-Epine,3.6,2239,52.5023,14.3439,45.3865,
Greywacke Pinot Noir,4.0,3819,24.1472,21.4897,7.12379,62.5209
Domaine Marquis D'Angerville Volnay Champans 1er Cru,4.3,2614,34.265,26.0196,8.29568,62.4511
Louis Latour Marsannay Rouge,3.7,3547,37.6245,28.9269,0,69.4968
Château De La Gardine ChâteauNeuf-Du-Pape,4.2,11614,80,36.5938,3.05815,41.8102
Attems Pinot Grigio,3.7,3792,39.9297,10.6573,40.0777,
Domaine Des Baumard Savennières Clos Du Papillon,4.0,2217,22.9782,9.78745,80,
Veramonte Pinot Noir,3.4,4253,40.7921,0,5.90573,42.0103
Piper-Heidsieck Brut Champagne,3.9,13690,64.5992,74.5358,75.6265,
Caparzo Brunello Di Montalcino,4.1,20522,43.4051,51.7526,1.70617,61.1016
Mr Francois-L Vuitton Cuvée Privée Du Château Giscours Margaux,3.8,13,65,77.5,0,77.5
Mud House Pinot Noir,3.6,7783,18.2253,19.0503,3.1412,61.5039
Krug Brut Champagne,4.6,15102,69.351,77.9624,74.6599,
Massican Annia,4.1,957,60.2598,19.0785,33.6854,
Big Table Farm Pinot Noir,4.3,2048,20.6929,16.9462,1.77012,60.891
Neil Ellis Sauvignon Blanc,3.7,2082,29.661,0,64.0829,
Tohu Pinot Noir,3.6,314,16.7992,20.2494,1.78626,61.3907
Livio Felluga Pinot Grigio,3.9,9459,40.5714,11.9754,38.8005,
Hartford Court Chardonnay,4.1,3397,80,32.7388,44.6635,
Feudi Di San Gregorio Greco Di Tufo,3.8,12819,58.5565,0.915588,37.1646,
Justin Justification,4.3,5559,80,60.7233,4.72337,61.917
Caprili Brunello Di Montalcino,4.3,8356,47.5192,57.2956,1.82478,61.9707
Klinker Brick Grenache Blanc,3.8,71,,,,
Oberon Merlot,4.0,2144,62.8807,16.7873,15.0619,10.3745
Barnard Griffin Riesling,3.6,286,38.2131,6.5066,65.3377,
Allende Rioja,3.9,7166,61.7029,59.1605,6.66214,59.1676
Caymus Cabernet Sauvignon,4.6,115919,80,44.2939,13.1274,47.6898
Buehler Zinfandel,3.8,1295,80,29.0282,27.485,10.7135
Clos La Coutale Cahors,3.6,5654,63.0145,46.783,0,43.4588
Barossa Valley Estate Shiraz,3.7,5739,80,43.6434,16.6339,41.8973
